row_type	key	date	author	subject_or_title	files_changed	additions	deletions	branch_or_state	merge_or_keyword_flags	head_branch	base_branch
commit	f761bf27165a72da8d9665f9a08f0e54bd29d609	2026-04-23	Nihala (Ma'at)	chore(backup): auto backup 2026-04-23 10:26:15	2	2	1				
commit	b9ad899741ec76f78c23e09e38e39a029da51d45	2026-04-23	Nihala (Ma'at)	feat(catalog): genre-shell JP series + US catalog plan + distribution strategy	13	1575	23		catalog		
commit	232918f427760ecdd5c10762ed3946e7565486ca	2026-04-23	Nihala (Ma'at)	feat(catalog): CJK manga series plan — 12 JP/KR series concepts, brand tier model	13	1147	0		manga,catalog,brand		
commit	22a785a9ee84d712dbc18d2c48699d3a8db036bb	2026-04-23	Nihala (Ma'at)	fix(dashboard): swap card/drawer prominence of series_description and series_logline	3	15	5	(origin/agent/dashboard-card-logline-swap, agent/dashboard-card-logline-swap)			
commit	735e5ff052703f77453289039d0ea2355e987de0	2026-04-23	Nihala (Ma'at)	chore(backup): auto backup 2026-04-23 09:26:08	1	1	0	(agent/recognition-banks-p1-p2-local)			
commit	d81b1a957b4bd1857fc8ce1a87330657cb39ec73	2026-04-23	Nihala (Ma'at)	chore(backup): auto backup 2026-04-23 08:26:00	2	2	1				
commit	5c415935d14ed42db0200d5db2f2a558c3883fd1	2026-04-23	Nihala (Ma'at)	fix(atoms+resolver): {selected_mechanism} placeholders + reflection_band_window wiring	2	38	1				
commit	b426f749bcf5d59e6d3108cb7f7f1944a4cf0556	2026-04-23	Nihala (Ma'at)	feat(content-banks): author P1+P2 HOOK-slot scene recognition banks	5	1478	0				
commit	229cb5b13fa94df38597cc5cddf2deed9170c285	2026-04-23	Ahjan108	fix(catalog): buying-trigger desire_type validity — adhd_focus + mindfulness	1	10	1		catalog		
commit	d044c813e11d326a8235745295702d6cd015393f	2026-04-23	Nihala (Ma'at)	fix(catalog): buying-trigger desire_type validity — adhd_focus + mindfulness	1	10	1	(origin/agent/fix-buying-trigger-desire-types, agent/fix-buying-trigger-desire-types)	catalog		
commit	b0140169167ca5b71c735c5786573f624481f293	2026-04-23	Nihala (Ma'at)	docs(strategy): genre portfolio plan — 12 genre shells × 37 brands with % allocations	1	563	0	(origin/agent/genre-portfolio-plan, agent/genre-portfolio-plan)	brand		
commit	23f057bc5fe7cb5c890b52e4cd5a25730f833e25	2026-04-23	Ahjan108	feat(manga): catalog planner + 288 series specs across 35 brands (reconciled from #549)	293	45837	16		manga,catalog,brand		
commit	267a256b635ce8ad19b83047fbbcdd18ad656e85	2026-04-23	Nihala (Ma'at)	feat(manga): catalog planner + 288 series specs across 35 brands (reconciled from PR #549)	293	45837	16	(origin/agent/merge-manga-catalog-pr549, agent/merge-manga-catalog-pr549)	manga,catalog,brand		
commit	6b2f14fa4fe24fc2ad1661d600659ea1084867a0	2026-04-23	Ahjan108	feat: bestseller late-depth writing pass — chapters 7–12 authored content	4	167	35				
commit	f7494b876aaa07de35353869ee944ea1a3009458	2026-04-16	Nihala (Ma'at)	content: DEPTH atoms chapters 7–12 (decision anxiety → closing integration)	4	167	35	(origin/agent/447-rebase-onto-main, agent/447-rebase-onto-main)			
commit	ea9451213597d2807de68a49bd70d0c0b2f19e2e	2026-04-23	Ahjan108	feat: browser translation queue server — 30-tab parallel zh-TW/zh-CN/ja-JP (#449)	18	15579	57	(agent/mechanism-resolver-fixes)			
commit	0e51cc82cb05861a102b77a4296de7e92a2ac950	2026-04-23	Nihala (Ma'at)	chore(manga): apply PR #546 dashboard patch + retire standalone portraits	6	0	0		manga		
commit	734244ab4bc47691d3ed8c2d9a2179bb9d12b4ea	2026-04-23	Nihala (Ma'at)	fix(content_banks): skip non-bank config YAMLs in loader directory scan	1	5	0				
commit	ff32fc5a768c41e607e4bb7a79f3eaf4dc4ff910	2026-04-23	Nihala (Ma'at)	chore(backup): auto backup 2026-04-23 05:25:26	1	1	0				
commit	138753282497484b44bc790676c2a79362c1014d	2026-04-23	Nihala (Ma'at)	chore(backup): auto backup 2026-04-23 04:25:20	1	1	0				
commit	93fe794d05eecb110e3eb07ac139ca9d5d41764f	2026-04-23	Nihala (Ma'at)	chore(backup): auto backup 2026-04-23 03:25:14	1	1	0				
commit	cad4457b9219d95bfe27f6f1d6b613b56cc063ae	2026-04-23	Nihala (Ma'at)	chore(backup): auto backup 2026-04-23 02:25:08	1	1	0				
commit	3cadfa928efecd16bce682719a9f3892d676735f	2026-04-23	Nihala (Ma'at)	chore(backup): auto backup 2026-04-23 01:25:02	1	1	0				
commit	01053e9cfbd15f15bc74232e1d07f9bdfc7137e4	2026-04-23	Nihala (Ma'at)	chore(backup): auto backup 2026-04-23 00:24:56	1	1	0				
commit	5594063bd194cfa1a75ec561d7d2ccaae60c1ba7	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 23:24:50	1	1	0				
commit	10fd3282daeae46f09ec20e93440d997f8e61199	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 22:24:43	1	1	0				
commit	a0bf9968e7d3d3a6c7d00d5b8589b9457720b6a0	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 21:24:37	1	2	0				
commit	54e64c38196e7322f9a3a9eb90534b0cdcea074f	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 19:19:19	1	1	0				
commit	01322b93896e61d8b358758f3a85528f6005ba60	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 18:19:11	1	1	0				
commit	4e58ca433170bda6878fd5194a4ac3fc2380627e	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 17:19:05	4	4	0				
commit	55f7546f31d390e6d1cbe795ed3de7e0f3af8ac9	2026-04-22	Ahjan108	feat(pipeline): BookSlotTracker + HOOK scene-recognition routing wired to main (#575)	8	1391	85				
commit	da10d1455bc431b7151e028ed40da13ea099bfe8	2026-04-22	Ahjan108	fix(i18n): fill 56 missing zh/tw keys for step8/step9/channels + fix English fallback (#574)	2	125	10				
commit	7e93a1d6cf4d2f9b4141101362fa5f728cc7a208	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 16:18:58	2	4	1	(origin/agent/story-planner-location-fix, agent/story-planner-location-fix)			
commit	42cd1c9c1508a4aec13e2d45f0c9a6533edf6653	2026-04-22	Nihala (Ma'at)	feat(atoms): resolve {selected_mechanism} and {selected_signal} in REFLECTION atoms	3	253	1				
commit	794d257aaba2de3d91db936c883b650509db6818	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 14:57:17	6	7402	0				
commit	58c1899360cc7ddc05928e1d5032e0a2a5b6a0ce	2026-04-22	Nihala (Ma'at)	fix(atoms): resolve title-case locale tokens {Weather_detail}, {Street_name}, {Transit_line}	2	22	5				
commit	bb7404c6084285c76faefbc3ee3ad8e5ecd4f44c	2026-04-22	Nihala (Ma'at)	docs: add RECOGNITION_BANK_SPEC.md — canonical spec for persona×topic scene recognition banks	1	404	0				
commit	263c44accc49aebbcd32af83b14e647658039c50	2026-04-22	Nihala (Ma'at)	feat(slotting): add BookSlotTracker for book-level variety enforcement	3	158	7				
commit	7da45ed5ab170c1edadff91f206d679a653fa8ff	2026-04-22	Nihala (Ma'at)	fix(composer): HOOK opening beat routes to scene_recognition bank	1	30	10				
commit	b1bc39d039303c1817ac39ba765cec70f40854e5	2026-04-22	Nihala (Ma'at)	chore(qa): post-fix run — HOOK order + doctrine quarantine + Elena removed	4	7387	0				
commit	dc41f82319f3f54149f07dcc0c9a8e55ea5f42c0	2026-04-22	Nihala (Ma'at)	fix(composer): HOOK enrichment order + teacher atom gate	1	25	9		teacher		
commit	021c21b3c25ecd54c5671d1cc63bb67a611c8d5d	2026-04-19	Nihala (Ma'at)	fix(doctrine-quarantine): remove Buddhist/mined doctrine atoms from approved_atoms + fix story planner topic fallback	196	8318	3				
commit	5ea13372f076e0acc4da562569758d0b22f142ff	2026-04-19	Nihala (Ma'at)	fix(ch-qa): remove Elena template framing, fix locale tokens, fix name collision in v15	44	7667	402				
commit	d68c8e0e87667120c2f29c51068a08670344d080	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 13:56:43	2	2	0				
commit	bf27c5bc111fa1e6d7b4d374c9b7db7b9cca7824	2026-04-22	Nihala (Ma'at)	chore(coordination): book assembly pipeline handoff — Pearl_PM + Pearl_Architect + EI v2	6	7503	0				
commit	8dbd5202661efc215c0c5d5ac55f5c886bbc2a39	2026-04-20	Nihala (Ma'at)	fix(engine): remove LLM from Pearl_Writer; wire real location profiles; deprecate social renderer	3	248	223				
commit	61c6ae0f603bfdb7b2b6145a65558bc2114ea0a5	2026-04-19	Nihala (Ma'at)	feat(story-atoms): add 45+ character story atoms + story planner for book-scale arc routing	56	9650	103				
commit	2ada2a2117a96b52c3a09d05fe83c6ca3eb06503	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 12:56:39	26	6201	40	(hotfix/brand-wizard-url)			
commit	a28a6942915322293624cde0efd76b1c5d6e7513	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 11:56:30	6	9	7	(origin/hotfix/brand-wizard-url)			
commit	23215bf31b06b930ab18f331b80a38f48393e65d	2026-04-22	Nihala (Ma'at)	fix(pearl_news): v52 slot HTML strip, stacked layout width, WP upsert by slug	3	198	57		pearl_news		
commit	49da8ba3a9a7bce2d9fb14e233899163a6127110	2026-04-22	Ahjan108	fix(deck): Brand Director button → phoenix-command.pages.dev	4	7	7	(claude/zen-margulis-599486, claude/zen-diffie-aa8f93)	brand		
commit	23da9f3ff9dd68e9f3d09c18f3f4fb6c1b40b65a	2026-04-22	Nihala (Ma'at)	fix(deck): wire Brand Director CTA to phoenix-command.pages.dev (brand wizard)	4	7	7		brand,wizard		
commit	ccbbe8f4851a59770c101145b68150df137756ed	2026-04-22	Ahjan108	feat(big-view): Phase 5 + flag nav + brand wizard CTA wiring	14	603	622	(claude/nervous-bassi-cae7b8)	brand,wizard		
commit	60f6dac036fd59ce871d6344532a8b3ec2fdc056	2026-04-22	Ahjan108	fix(pages): add .nojekyll — unblock GitHub Pages HTML serving	1	0	0				
commit	1442faab66d7bc45ec4f701e4726aa3f334674de	2026-04-22	Nihala (Ma'at)	fix(pages): add .nojekyll — serve docs HTML without Jekyll	1	0	0	(origin/hotfix/nojekyll, hotfix/nojekyll)			
commit	4e2e308898b990cdb384593c74a0d506cf2d03df	2026-04-22	Nihala (Ma'at)	fix(pages): add .nojekyll — serve HTML files without Jekyll processing	1	0	0	(origin/agent/big-view-phase5, agent/big-view-phase5)			
commit	3427a2b76d4e8c63eb834b5c9535a23df7dc9a4a	2026-04-22	Nihala (Ma'at)	fix(i18n): wire CTA buttons to brand wizard — all 4 lang files	4	7	7		brand,wizard		
commit	16566c852df8c3d8528082eab2f2bd1e125bdd2d	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 10:56:23	7	9	7				
commit	f646812d3a5853f8e27560e0c8cf29ff933eacbb	2026-04-22	Nihala (Ma'at)	feat(big-view): Phase 5 — manga asset estimator, catalog builder, unified launcher	3	572	593		manga,catalog		
commit	c94970f191fabaf3fb5606e0aad51b7b776696b8	2026-04-22	Nihala (Ma'at)	fix(i18n): re-apply flag nav routing — JP/TW/CN navigate to translated files	4	15	15				
commit	f299255e979a092b691a4178d2696bfc52d7e0fb	2026-04-22	Nihala (Ma'at)	fix(i18n): wire flag nav — JP/TW/CN flags navigate to translated files, active flag highlighted	4	15	15	(origin/agent/translate-pearl-prime-v63-b, agent/translate-pearl-prime-v63-b)			
commit	0df3c5bfae11739e8b959525b28308ea0307a89e	2026-04-22	Ahjan108	feat(phase4): brand-admin handoff — export, config, dashboard, wiring	5	1419	2		brand		
commit	8acf1a5e8a77c503d9ef8fdc3f20401f97d3c611	2026-04-22	Nihala (Ma'at)	feat(phase4): brand-admin handoff — export, config, dashboard, wiring	5	1419	2	(origin/agent/big-view-phase4, agent/big-view-phase4)	brand		
commit	9583d1c44b97f57211cacdbd109bf0a26b91ea96	2026-04-22	Ahjan108	feat(i18n): pearl_prime_v6-3 — Japanese + TW + ZH translations	4	1534	0		pearl_prime		
commit	e48751379880724c50e26b2a4bb28bbcf931fd0f	2026-04-22	Nihala (Ma'at)	fix(tests): add adhd_focus buying-trigger entry — unblocks CI	1	9	0				
commit	0a37f654ac87f861bd95416bdbbf48e4508c3680	2026-04-22	Nihala (Ma'at)	feat(i18n): JA/TW/ZH translations of pearl_prime_v6-3 pitch deck	3	1525	0		pearl_prime		
commit	6066276526c0e5979d6ec038080a8fa8973665d9	2026-04-22	Nihala (Ma'at)	fix(tests): add adhd_focus buying-trigger entry — unblocks CI	1	9	0	(origin/agent/big-view-phase3)			
commit	7ce1cd029e82bd21c1db8a64e6604916e53095a6	2026-04-22	Nihala (Ma'at)	fix(tests): add adhd_focus buying-trigger entry — unblocks CI	1	9	0	(origin/claude/objective-hamilton-381dd0, claude/objective-hamilton-381dd0)			
commit	14cadd2bf8182a9cfa01408842f54642a95a192e	2026-04-22	Ahjan108	feat(big-view): Phase 3 — manga character system + asset estimator + dual-track pipeline	6	1723	9		manga		
commit	f2b023a3fc5dd7ce09d6885677183c27c257329b	2026-04-22	Ahjan108	Fix revenue split: 80/10/5/5 across all docs + canonical config (#563)	92	8461	80				
commit	2dff6149deb7be5f42ed6aeb1780b0e9727b1967	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 09:56:17	1	1	0	(origin/agent/translate-pearl-prime-v63, agent/translate-pearl-prime-v63)			
commit	45c0e754c23ddfefcaed844fb57a029a95143450	2026-04-22	Nihala (Ma'at)	fix(revenue): update presenter CJK files to 80/10/5/5 split	4	56	56	(origin/agent/fix-revenue-split, agent/fix-revenue-split)			
commit	c3f6aa50cda3d92ad86324d9f353d7d7318f81f0	2026-04-22	Nihala (Ma'at)	feat(pearl_news): bootstrap WordPress creds from .env.wordpress.local + Keychain	1	43	2		pearl_news		
commit	1b2913b81643bd66b57898a5ab07ba15753c8f05	2026-04-22	Nihala (Ma'at)	feat(pearl_news): add WordPress publish to qa_local_article CLI	1	179	38		pearl_news		
commit	f9d92ada8bab13639b62af612afdad65d1c8052f	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 08:56:09	86	8173	13				
commit	52d6b3aeb06bfd1f6a7e7633fd154cb13e701ec9	2026-04-22	Nihala (Ma'at)	feat(big-view): Phase 3 — manga character system, asset estimator, dual-track pipeline	6	1723	9	(agent/big-view-phase3)	manga		
commit	b6978f78102c21744f8c489ba866c8ac0a4430d9	2026-04-22	Nihala (Ma'at)	fix(revenue): correct split to 80/10/5/5 + create canonical config	2	50	11				
commit	3e6df10cf66952ea3646cdae97a96d56a0b84cfe	2026-04-22	Ahjan108	fix(pearl_news): raw YAML from legacy atoms bleeding into article body (#560)	2	97	26		pearl_news		
commit	7bae09571643388d99f48448dd4ae26878c2c0be	2026-04-22	Ahjan108	feat(big-view): Phase 2 — build controls, bestseller analysis, regression memory, teacher mode (#562)	12	1945	206		teacher		
commit	d3a545ef4fddef8cdf949b801930669c1bb246e2	2026-04-22	Nihala (Ma'at)	feat(big-view): Phase 2 — build controls, bestseller analysis, regression memory, teacher mode	12	1945	206	(origin/agent/big-view-phase2, agent/big-view-phase2)	teacher		
commit	7c7f6aaaacbe488d3cd163ca07b70d432868f208	2026-04-22	Ahjan108	feat: Big View Phase 1 — market registry, atom inventory, exec dashboard (#558)	7	1957	0				
commit	c33bd89d1f4dbe03d4331e02aab1b9cfac5dba78	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 07:56:02	49	6237	22	(claude/trusting-heisenberg-161995)			
commit	87fc9befeceaee7c49122f4c6bea8cec6f8c940e	2026-04-22	Ahjan108	fix(pearl_news): restore v5.2 sidebar + teacher-per-article	3	102	1		teacher,pearl_news		
commit	b6d1beda0a7018320658083708ebb7c0ceb6fd2f	2026-04-22	Nihala (Ma'at)	fix(pearl_news): restore v5.2 sidebar and teacher passthrough in daily cycle	3	102	1	(origin/claude/admiring-ardinghelli-2a4102, claude/admiring-ardinghelli-2a4102)	teacher,pearl_news		
commit	117fcb4b2b6e5deb441ce721333dbc1e414a6934	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 06:55:56	1	1	0	(origin/agent/fix-pearl-prime-canary-sentinel, agent/fix-pearl-prime-canary-sentinel)			
commit	b435dca82ce85e72ad70092fc29ea60530db576e	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 05:55:48	1	1	0				
commit	162072906c1b00e4a224b5cc6c067c8e4a1e3eeb	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 04:55:41	1	1	0				
commit	1b87669c146cf731e83953c7a72d64616e6d98c2	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 03:55:33	1	1	0				
commit	0f7fe657c9d6f228dc09f87ed4c089f53bfa456f	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 02:55:26	1	1	0				
commit	75e49f2228d4649a4f7a2de32614b9c5197d2585	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 01:55:18	1	1	0				
commit	a729a344e0fd1852196786cf3ecb7047b3fb5fb3	2026-04-22	Nihala (Ma'at)	chore(backup): auto backup 2026-04-22 00:55:11	1	1	0				
commit	e1271a195dabf10e2c871781fbd2fafc9469bbbd	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 23:54:58	1	1	0				
commit	f79046a91b758c448207996d9ebd08977504c08d	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 22:54:51	1	1	0				
commit	4a4f34401174bd4712b712ac7bf24f093ed484b7	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 21:54:44	1	1	0				
commit	26f35571907a956f529eb0761ee56e63c91ab9a4	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 20:54:37	1	1	0				
commit	58c637eab399ea1c8fb54bb0b8af3ddde93ef403	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 19:06:16	1	2	0				
commit	fb67ebfc0c6bc09c495859182597a7624730b6c0	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 17:01:48	1	2	0				
commit	be3a01c525eed90db732797518bcd2e2aa421c4a	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 15:59:00	1	4	0				
commit	98b9c9fafa3246ab51636eb0b3bdb7d776da8e6a	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 11:58:11	2	2	1				
commit	2809bf342c86cfa97687317bc80feaaa7ab28d40	2026-04-21	Nihala (Ma'at)	feat(big-view): Phase 5 — Brand-Admin Handoff (showcase catalog UI, download workflow, admin data export)	5	18238	1		catalog,brand		
commit	a7a4de24fa898d7b114756a5eabfe86851222ca2	2026-04-21	Nihala (Ma'at)	feat(big-view): Phase 3 — Manga Maturity (character system, asset estimation, layout library)	7	8350	0		manga		
commit	039ed95719f8ba64505e2d46fbe7f970697141d7	2026-04-21	Nihala (Ma'at)	feat(big-view): Phase 4 — Teacher-Mode Expansion (generalized mode, ratio controls, wrapper templates)	5	1212	0		teacher		
commit	6fd42217e23b857260226e3bf8b7d00720780031	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 10:37:49	3	3	0				
commit	d07060f1df9305fc2dfec4abb0da28b759e351cf	2026-04-21	Nihala (Ma'at)	feat(big-view): Phase 2 — Full Assembly & Analysis	5	1236	1				
commit	ca4f8dc00b4bc5e89b6547f583fac39ec84e8310	2026-04-21	Nihala (Ma'at)	feat(big-view): Phase 1 — Truth & Visibility foundation	11	3138	0				
commit	701d190d88b2653d8e164d074115d4bfa3244834	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 09:37:42	1	1	0				
commit	bd50e226118f484daaac3071e7d2436df38babe0	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 08:37:35	2	232	0				
commit	8c1cebf3ee04f21bb53bd582f841b8f06d2cab9e	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 07:37:29	1	1	0				
commit	be6f6a8cc37fa5784f69bd9c435a935934dc701f	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 06:37:22	1	1	0				
commit	77dc3fbb968380a5eb8d4418eca9bf6d3923315b	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 05:37:15	2	2	0				
commit	7de462751f02fdf544b0c4f840cb397d32cb7d6c	2026-04-21	Ahjan108	fix(pearl_prime): canary sentinel engine mismatch — bestseller FAIL→PASS (#548)	19	1457	62	(claude/xenodochial-fermat-d3bf23, claude/determined-dirac-6ee4f3)	pearl_prime		
commit	2425f17627a03e5865fa6e8eae6774da54360e46	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 04:37:08	1	1	0				
commit	cf4b3e0a03fdd6f3ff52da00795566e9740ffaf2	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 03:37:00	2	2	1				
commit	e25821a9e2d03e23967fc50fea24dcf5be431374	2026-04-21	Nihala (Ma'at)	fix(dashboard): treat --brand all / --locale all as no-filter; rebuild catalog	3	36101	96	(origin/agent/manga-catalog-planner-global, agent/manga-catalog-planner-global)	catalog,brand		
commit	f48eb48ad2dd98e857f24cadb93003f647da0773	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 02:36:54	1	1	0				
commit	4df9444bc81a1d361c72266af7eef5290261953b	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 01:36:47	1	1	0				
commit	57e4d8f2ac36513e79bd4e4371feaff573fa7929	2026-04-21	Nihala (Ma'at)	chore(backup): auto backup 2026-04-21 00:36:41	1	1	0				
commit	5a1d034590f3f711bf2e94416c193727f375536d	2026-04-20	Nihala (Ma'at)	chore(backup): auto backup 2026-04-20 23:36:35	1	1	0				
commit	0930aac33eb3f97e60a841570386125a73ca67ce	2026-04-20	Nihala (Ma'at)	chore(backup): auto backup 2026-04-20 22:36:28	1	1	0				
commit	f99c202094c92b77d98ab3332bdbc56f70701a60	2026-04-20	Nihala (Ma'at)	chore(backup): auto backup 2026-04-20 21:36:22	3	4	2				
commit	e5a0fedd35519443fbf92bc0dd360004426fccdd	2026-04-20	Nihala (Ma'at)	feat(manga): add 40 series specs for 5 missing brands	40	1179	0		manga,brand		
commit	0fde90e5aec9493eafcc8da0e1ef9edac8969d5a	2026-04-20	Nihala (Ma'at)	feat(manga): add catalog planner + 248 series specs across 35 brands	249	9777	0		manga,catalog,brand		
commit	8fb594727cc69c7c78d2b2f835d18ff16bf2807a	2026-04-20	Nihala (Ma'at)	chore(backup): auto backup 2026-04-20 18:56:34	1	1	0				
commit	2e863c37c1789d35cbcab2ed50c56df01972e9f0	2026-04-20	Nihala (Ma'at)	chore(backup): auto backup 2026-04-20 17:56:27	12	256	0				
commit	3847d9ae61d6ee045f8e8663e27b8ecfb98e11bd	2026-04-20	Nihala (Ma'at)	fix(pearl_prime): canary sentinel engine mismatch — FAIL→PASS	2	9	2	(agent/manga-character-images-runcomfy-20260420)	pearl_prime		
commit	1e4628a2136a23a635c37baa2c0b6c8e6a45640f	2026-04-20	Nihala (Ma'at)	chore(backup): auto backup 2026-04-20 16:56:20	1	881	0	(origin/agent/manga-character-images-runcomfy-20260420)			
commit	9a34ad6569afda8d3c5f452fc8a7be32f4f7c901	2026-04-20	Nihala (Ma'at)	feat(catalog): add RunComfy character portraits — clear 🔴 image badges on all 3 series	6	301	60		catalog		
commit	8b51daa01160b2389edb2f6d744d59675aef0d38	2026-04-20	Nihala (Ma'at)	fix(catalog): rebuild manga dashboard — marketing metadata now shows correctly	2	288	57	(origin/agent/fix-manga-dashboard-metadata-20260420, agent/fix-manga-dashboard-metadata-20260420)	manga,catalog		
commit	ce2f1c7c41a50b9d0b4e98be87ae413b632cf3ff	2026-04-20	Nihala (Ma'at)	chore(backup): auto backup 2026-04-20 15:56:15	1	1	0	(claude/recursing-hodgkin-2e083c)			
commit	c76a4a1971de8b3eac5bceaca3350f8fce7b73e8	2026-04-20	Nihala (Ma'at)	chore(backup): auto backup 2026-04-20 14:56:09	87	12226	764				
commit	684dc9f5b943f279d5abbaea34f90b1b859af218	2026-04-20	Nihala (Ma'at)	feat(onboarding): add Index-3 onboarding page with scroll-tracked sections	14	475	0				
commit	ef3a05d687bf26e5527918772c565292c7467e5e	2026-04-20	Nihala (Ma'at)	feat(onboarding): add Index-3 onboarding page with scroll-tracked sections	14	475	0	(origin/agent/cjk-zh-CN-translation-sprint-20260420, agent/cjk-zh-CN-translation-sprint-20260420)			
commit	5898d31153c1e184b42c433332845c3bd5c19e61	2026-04-20	Nihala (Ma'at)	feat(localization): zh-CN translation sprint — educators + entrepreneurs atoms (DeepSeek V3)	25	3613	1721				
commit	6b916af54b141aba31f29b3f8e205592cbda330d	2026-04-20	Ahjan108	fix(manga): wire CHAPTER_BUBBLE_RENDER into chapter_runner dispatch dict (#542)	2	21	0		manga		
commit	1f43b577bbc7d99e9ef767cc891a43a1d34421b2	2026-04-20	Ahjan108	fix(localization): add GOOGLE_AI_API_KEY + CLOUDFLARE_AI_API_TOKEN to key guard (#543)	1	4	1				
commit	9ca11b8961b1bb70efdb536b6b9f6b093355cb82	2026-04-20	Nihala (Ma'at)	fix(localization): add GOOGLE_AI_API_KEY + CLOUDFLARE_AI_API_TOKEN to key guard	1	4	1	(origin/agent/fix-llm-key-guard-google-cloudflare, agent/fix-llm-key-guard-google-cloudflare)			
commit	34c618af176094a0c60227d06172233dfe4ffa5d	2026-04-20	Nihala (Ma'at)	feat(presenter): add fully-translated locale HTML files for JA/ZH/TW	3	27	24	(agent/fix-chapter-bubble-render-dispatch-clean)			
commit	c9e8094e8e6a0cadb33d4bbef74684e0b3ed589c	2026-04-20	Nihala (Ma'at)	fix(manga): wire CHAPTER_BUBBLE_RENDER into chapter_runner dispatch dict	2	21	0	(origin/agent/fix-chapter-bubble-render-dispatch-clean)	manga		
commit	6a2e1d1cada0d397633199bc66b8ea8b1fcb4f86	2026-04-20	Nihala (Ma'at)	chore(backup): auto backup 2026-04-20 13:56:02	143	15232	1082	(origin/agent/fix-chapter-bubble-render-dispatch, agent/fix-chapter-bubble-render-dispatch)			
commit	ede026f99a8da52796ef35698b8bf74d0bd38354	2026-04-20	Ahjan108	feat(localization): add Gemini 2.0 Flash + Cloudflare Workers AI as translation providers (#541)	2	80	8	(claude/vigorous-wright-abd0ab)			
commit	e1d5b028f5fb3ae6d3d0d6e80c5f2dd88bc98cb4	2026-04-20	Nihala (Ma'at)	feat(localization): add Gemini 2.0 Flash + Cloudflare Workers AI as translation providers	2	80	8	(origin/agent/gemini-cloudflare-translation-providers, agent/gemini-cloudflare-translation-providers)			
commit	07f64055f6b0c692ab0e8c57c8744cadaeb26612	2026-04-20	Ahjan108	fix(localization): remove hardcoded max_tokens=32000 override in translation script (#540)	1	2	1				
commit	adfdb4a50ac715002591d955702fe02151cdb5a9	2026-04-20	Nihala (Ma'at)	fix(localization): remove hardcoded max_tokens=32000 override in translation script	1	2	1	(origin/agent/fix-deepseek-maxtokens-override, agent/fix-deepseek-maxtokens-override)			
commit	b678621d53b17fc86ca1cf0b2137bde41c0643cd	2026-04-20	Ahjan108	feat(localization): add DeepSeek V3 as preferred CJK translation provider (#539)	3	57	11				
commit	4e198281baf921b4b603decd8b2dbcc528ed1ecd	2026-04-20	Ahjan108	feat(manga): audit remediation — therapeutic lanes, format grammars, YEARNING gate (MDLG-09b) (#524)	34	2990	6		manga,audit		
